position_x_0,position_y_0,position_z_0,position_x_1,position_y_1,position_z_1,position_x,position_y,position_z,position_x_end,position_y_end,position_z_end
6.634076,-1.3521707,0.27369112,10.361813,-1.5702889,-0.071136564,7.081404,-1.3783449,0.2323118,0.79842895,-1.010714,0.8135074
6.912731,-1.3489244,0.32783756,10.662209,-1.3876082,0.3770821,7.3626685,-1.3535665,0.33374688,1.0430497,-1.2883663,0.25074682
6.90084,-1.1663895,0.21221706,10.650807,-1.1713364,0.19739689,7.350836,-1.1669831,0.21043864,1.0303907,-1.1586454,0.23541754
6.8377795,-1.6001091,0.40343797,10.587454,-1.5886794,0.45153686,7.28774,-1.5987375,0.40920982,0.96778953,-1.6180017,0.32814077
7.0345697,-1.7534581,0.6467061,10.74777,-1.8393654,0.12973101,7.4801536,-1.763767,0.5846691,1.2216784,-1.618973,1.4560133
7.1801095,-1.1610978,0.24004015,10.907944,-1.2336124,-0.16057724,7.62745,-1.1697996,0.19196607,1.3443096,-1.0475787,0.86719334
7.2547836,-1.1518441,0.55958956,11.004334,-1.2021867,0.53069174,7.70473,-1.1578853,0.5561218,1.3849872,-1.0730346,0.6048281
7.315074,-1.4328308,0.18429843,11.037389,-1.731534,-0.15869734,7.7617517,-1.4686751,0.14313893,1.4879137,-0.96522087,0.72124684
6.7091603,-1.2262293,0.58754516,10.459157,-1.2244723,0.5920989,7.1591597,-1.2260184,0.5880916,0.8386651,-1.22898,0.58041644
6.6015325,-1.6115514,0.4509587,10.312036,-1.9397477,0.018579511,7.046793,-1.650935,0.39907318,0.79286295,-1.0977712,1.1278338
6.6788034,-1.6116953,0.43539822,10.421249,-1.6328292,0.19844204,7.127897,-1.6142313,0.40696347,0.82012814,-1.5786108,0.8063452
6.886088,-1.5783321,0.39265755,10.628467,-1.5569665,0.15465185,7.335173,-1.5757682,0.36409688,1.0275191,-1.6117791,0.7652475
6.9831314,-1.4634196,0.4364544,10.730863,-1.3779376,0.33794788,7.432859,-1.4531617,0.4246336,1.1161829,-1.5972389,0.5906631
6.9564476,-1.666583,0.3953957,10.701464,-1.6375479,0.20431471,7.4058495,-1.6630988,0.37246597,1.0937499,-1.7120364,0.6945266
7.265406,-1.7326385,0.4913853,10.975691,-1.9246598,-0.01794029,7.7106404,-1.755681,0.43026626,1.4570785,-1.4320353,1.2887176
6.745421,-1.7973186,0.43627545,10.494342,-1.8021308,0.5260969,7.1952915,-1.797896,0.44705403,0.87661004,-1.7897851,0.29566294
7.3479505,-1.6001347,0.43899545,11.093037,-1.6124896,0.24747644,7.797361,-1.6016173,0.41601318,1.4851433,-1.5807937,0.7388121
6.8086596,-1.5892111,0.56510305,10.539578,-1.6745394,0.19705439,7.2563696,-1.5994505,0.5209372,0.96802944,-1.4556326,1.1412709
7.024571,-1.3399736,0.20787084,10.774368,-1.3090925,0.18415515,7.4745464,-1.3362678,0.20502496,1.1543872,-1.3883169,0.24499698
7.0128303,-1.3672925,0.47648653,10.761756,-1.3079726,0.5438506,7.4627013,-1.3601741,0.4845702,1.1440122,-1.460156,0.3710303
6.8920517,-1.3295859,0.4524787,10.598084,-1.7442073,0.057625487,7.3367753,-1.3793405,0.40509632,1.0903805,-0.6805101,1.0706083
7.137949,-1.1658443,0.4959378,10.843823,-1.2667993,-0.06868574,7.582654,-1.177959,0.42818296,1.3365254,-1.0078026,1.3798372
7.2996216,-1.2341506,0.5862651,11.037453,-1.0063901,0.3881635,7.7481613,-1.2068194,0.5624929,1.448172,-1.5907023,0.89638656
6.89195,-1.2731339,0.34570286,10.641951,-1.2727618,0.34561637,7.3419504,-1.2730893,0.3456925,1.0214504,-1.2737163,0.34583825
7.111273,-1.343221,0.18419136,10.824957,-1.1062112,-0.2793578,7.556915,-1.3147798,0.12856546,1.2976245,-1.7142519,0.9098621
7.12851,-1.6440761,0.3596949,10.878036,-1.6788586,0.3112314,7.578453,-1.6482501,0.35387927,1.258753,-1.5896254,0.4355629
6.625872,-1.6938472,0.23218155,10.374525,-1.7691078,0.16558015,7.075711,-1.7028785,0.22418937,0.7574807,-1.5760293,0.3364438
6.7949805,-1.4870154,0.16801766,10.5176735,-1.5224434,-0.28232205,7.2417035,-1.4912667,0.113976896,0.96722966,-1.4315538,0.87300944
7.2866096,-1.7188401,0.26997572,11.008037,-2.112187,0.02756696,7.733181,-1.7660418,0.24088667,1.4608405,-1.1030691,0.6494586
6.891543,-1.5801888,0.4101405,10.594306,-2.1158266,0.15491718,7.3358746,-1.6444653,0.3795137,1.0949911,-0.7416658,0.8096841
6.8138256,-1.6509356,0.59242857,10.558681,-1.6829724,0.39869133,7.2632084,-1.65478,0.5691801,0.95137995,-1.6007832,0.8957177
