position_x_0,position_y_0,position_z_0,position_x_1,position_y_1,position_z_1,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8
7.1056786,1.892622,1.9414562,10.85555,1.8879362,1.9107963,-0.17057124,-1.0475799,3.269638,1.1676701,-1.5964063,3.1413982,0.087266445,2.51999
,,,,,,-0.16666004,-1.0479515,3.2747495,1.1646982,-1.5901955,3.1410806,0.087266445,2.5216045
,,,,,,-0.17364016,-1.0478863,3.2808855,1.1648074,-1.600811,3.1412804,0.087266445,2.5250185
,,,,,,-0.17216733,-1.0479734,3.2652879,1.1652423,-1.598532,3.1410806,0.087266445,2.5266395
,,,,,,-0.16876936,-1.0477513,3.2687647,1.1664536,-1.5920371,3.1413615,0.087266445,2.5249321
,,,,,,-0.16938207,-1.0477773,3.2718766,1.1655716,-1.5953131,3.1412885,0.087266445,2.5213444
,,,,,,-0.18264815,-1.0476505,3.2709665,1.1648761,-1.6123762,3.1414287,0.087266445,2.5169706
,,,,,,-0.17487073,-1.0477662,3.272665,1.1669867,-1.6011231,3.1414354,0.087266445,2.526088
,,,,,,-0.17503384,-1.0477052,3.259529,1.1678756,-1.6034153,3.141236,0.087266445,2.5236113
,,,,,,-0.1699234,-1.0478126,3.2755623,1.1672508,-1.5937531,3.141361,0.087266445,2.523659
,,,,,,-0.1760754,-1.047674,3.268993,1.166998,-1.604282,3.141359,0.087266445,2.5276284
,,,,,,-0.17729837,-1.0477592,3.2790499,1.1647408,-1.6063027,3.1413505,0.087266445,2.523981
,,,,,,-0.17227444,-1.047706,3.2647784,1.1662719,-1.595959,3.1414998,0.087266445,2.5302913
,,,,,,-0.17537883,-1.0480493,3.2601197,1.1651871,-1.6021701,3.1411192,0.087266445,2.520539
,,,,,,-0.17779347,-1.0477298,3.2630036,1.1679897,-1.6060925,3.1414511,0.087266445,2.5356894
,,,,,,-0.17379218,-1.0478076,3.2667484,1.1663821,-1.6003338,3.1413038,0.087266445,2.521826
,,,,,,-0.16732761,-1.0478797,3.276207,1.1642119,-1.5931798,3.1410105,0.087266445,2.5203881
,,,,,,-0.17700031,-1.0479451,3.2746263,1.1648575,-1.6054833,3.1411092,0.087266445,2.5191102
,,,,,,-0.17746347,-1.0478061,3.2767942,1.1645321,-1.6065578,3.1413662,0.087266445,2.5247657
,,,,,,-0.17245933,-1.047815,3.2746034,1.1649827,-1.5992303,3.1411712,0.087266445,2.5203106
,,,,,,-0.17399111,-1.0479254,3.2598858,1.166776,-1.5992923,3.14099,0.087266445,2.5156288
,,,,,,-0.16410366,-1.0479738,3.269588,1.1648549,-1.5869257,3.1410072,0.087266445,2.5184436
,,,,,,-0.1754739,-1.0478069,3.2758954,1.1649625,-1.6037192,3.141372,0.087266445,2.5254543
,,,,,,-0.17462897,-1.047798,3.2571576,1.1686634,-1.5989583,3.1414826,0.087266445,2.54743
,,,,,,-0.16966867,-1.0477159,3.263794,1.1652589,-1.5936629,3.1414564,0.087266445,2.53501
,,,,,,-0.18093124,-1.0476367,3.2699137,1.1661341,-1.6114309,3.1413767,0.087266445,2.5217505
,,,,,,-0.1755555,-1.0477123,3.2711453,1.1649982,-1.6023402,3.1413019,0.087266445,2.5170913
,,,,,,-0.16781336,-1.0478704,3.273911,1.1665963,-1.5899003,3.1414182,0.087266445,2.5254698
,,,,,,-0.1770587,-1.0477766,3.2760158,1.1640887,-1.6062608,3.1413128,0.087266445,2.5196927
,,,,,,-0.17516747,-1.0477257,3.276186,1.1653416,-1.6014819,3.1414282,0.087266445,2.522557
,,,,,,-0.1780962,-1.0475682,3.2652452,1.1672717,-1.6075152,3.1414196,0.087266445,2.5221577
