position_x_0,position_y_0,position_z_0,position_x_1,position_y_1,position_z_1,position_x,position_y,position_z,position_x_end,position_y_end,position_z_end
6.959992,-1.6025597,0.532158,10.68338,-1.8292549,0.14811367,7.4067984,-1.6297631,0.4860727,1.1311519,-1.2476758,1.1333666
7.255464,-1.9632771,0.18508211,10.986081,-2.175042,-0.13139148,7.703138,-1.9886888,0.14710528,1.4153082,-1.6317663,0.68051094
7.385791,-1.5145319,0.09711384,11.131709,-1.5564015,-0.0727205,7.8353014,-1.5195563,0.076733716,1.521681,-1.4489865,0.36298382
7.9512095,-1.5661232,0.36851436,11.699562,-1.5220722,0.47054508,8.401011,-1.5608371,0.38075805,2.083288,-1.6350836,0.20878863
7.4284062,-1.3502539,0.2583134,11.17811,-1.3064405,0.27566737,7.878371,-1.3449963,0.26039585,1.5583699,-1.4188426,0.23114628
7.037097,-1.5339328,0.58218676,10.775087,-1.711691,0.3406671,7.485656,-1.5552639,0.5532044,1.185398,-1.2556583,0.9602778
8.202204,-1.8736982,0.42228627,11.9470215,-2.0189,0.28902268,8.651582,-1.8911223,0.40629464,2.339817,-1.6463897,0.630906
7.1564136,-1.2484673,0.43031582,10.898512,-1.4666456,0.32263803,7.6054654,-1.2746487,0.4173945,1.2982824,-0.9069164,0.59888184
7.1184773,-1.7259178,0.5566519,10.858573,-1.6934848,0.28622124,7.567289,-1.7220259,0.5242002,1.2634825,-1.7766907,0.9800021
7.5955863,-1.4830246,0.015797397,11.341642,-1.3581532,-0.10238838,8.045113,-1.4680401,0.0016151025,1.7312596,-1.6785066,0.2008133
6.8260527,-1.451381,0.5641479,10.574727,-1.466148,0.4655566,7.275893,-1.453153,0.5523169,0.95762724,-1.4282637,0.7184892
8.210225,-1.4864247,0.45371172,11.94007,-1.8729147,0.49083242,8.657806,-1.5328035,0.45816618,2.371276,-0.8813874,0.39560047
7.6604724,-1.460656,0.56654024,11.381878,-1.3009944,0.13277853,8.10704,-1.4414966,0.5144888,1.8347359,-1.710601,1.2455797
7.49318,-1.2467583,0.107022926,11.2286,-1.0915384,-0.1846002,7.94143,-1.2281319,0.07202815,1.645504,-1.48975,0.5635492
7.0594006,-1.4735816,0.43902272,10.784897,-1.806043,0.16949828,7.50646,-1.513477,0.4066798,1.2272594,-0.9531243,0.8609543
7.3662086,-1.935721,0.13329199,11.081433,-2.1608212,-0.32380602,7.8120356,-1.962733,0.07844023,1.550149,-1.5833341,0.84886366
8.236903,-1.2196136,0.40645733,11.974998,-1.1784605,0.11074581,8.685474,-1.2146752,0.37097195,2.3850381,-1.2840374,0.8693838
7.9036894,-1.9961786,0.18600713,11.630913,-2.3168736,-0.07372956,8.350956,-2.034662,0.15483873,2.068846,-1.4941416,0.59261626
7.911573,-1.4889427,0.6210014,11.647697,-1.4152886,0.30722937,8.359908,-1.4801043,0.5833488,2.0627956,-1.6042459,1.1122012
8.186197,-1.9942048,0.28519505,11.912237,-2.339404,0.04032419,8.633322,-2.0356288,0.25581056,2.3532054,-1.4538069,0.66853225
7.2591066,-1.6166945,0.561257,11.005923,-1.6612998,0.4133469,7.7087245,-1.6220471,0.5435078,1.3935906,-1.5468662,0.7928054
